site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len,mean_lead_hours
site5,no_delay,0,360,0.7643736291335781,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.8358754629689318,0.6346983256462203,0.6111111111111112,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,0
site5,no_delay,1,360,0.6913795576205464,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.793714724789233,0.6115936468921096,0.5972222222222222,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,0
site5,no_delay,2,360,0.3735393058043229,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.819207806306343,0.3735393058043229,0.5916666666666667,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,0
site5,no_delay,3,360,0.6438783941685035,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7912135613371905,0.5640924834400673,0.5916666666666667,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,0
site5,no_delay,4,360,0.8433625660141872,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.819864399849541,0.6438318310520444,0.6,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,0
site5,no_delay,5,360,0.7450811967855364,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.8307496972875565,0.6531755692009829,0.6222222222222222,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,0
site5,no_delay,6,360,0.5326199233713568,0.0,0,100.0,710.6301599999999,0,5,0,0.5744197124756335,0.8124550905400437,0.5326199233713568,0.6027777777777777,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,0
site5,no_delay,7,360,0.5177125153656817,0.0,0,100.0,710.6301599999999,0,5,0,0.5744197124756335,0.8092143492010352,0.5177125153656817,0.6083333333333333,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,0
site5,no_delay,8,360,0.7724536151319743,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.8439554489673277,0.6427783116446163,0.6111111111111112,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,0
site5,no_delay,9,360,0.8654647177622501,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.8102998849309371,0.6519272837703343,0.6,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,0
site5,fast,0,360,0.7643736291335781,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.8058754629689316,0.6121608849952291,0.6083333333333333,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,12
site5,fast,1,360,0.6913795576205464,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7762147247892329,0.5210488679401146,0.5944444444444444,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,12
site5,fast,2,360,0.3735393058043229,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7667078063063428,0.3735393058043229,0.5694444444444444,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,12
site5,fast,3,360,0.6438783941685035,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7637135613371906,0.5519727665839498,0.5888888888888889,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,12
site5,fast,4,360,0.8433625660141872,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.8048643998495411,0.6438318310520444,0.5944444444444444,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,12
site5,fast,5,360,0.7450811967855364,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.8190830306208899,0.6148601154848856,0.6138888888888889,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,12
site5,fast,6,360,0.5326199233713568,0.0,0,100.0,710.6301599999999,0,5,0,0.5744197124756335,0.7699550905400439,0.440714295786803,0.5861111111111111,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,12
site5,fast,7,360,0.5177125153656817,0.0,0,100.0,710.6301599999999,0,5,0,0.5744197124756335,0.788381015867702,0.5177125153656817,0.5972222222222222,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,12
site5,fast,8,360,0.7724536151319743,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.8414554489673277,0.6427783116446163,0.6027777777777777,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,12
site5,fast,9,360,0.8654647177622501,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7719665515976037,0.5984835429681823,0.6027777777777777,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,12
site5,normal,0,360,0.7643736291335781,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7592087963022648,0.5666714096637734,0.5916666666666667,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,24
site5,normal,1,360,0.6913795576205464,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7520480581225661,0.5617042541331878,0.5833333333333334,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,24
site5,normal,2,360,0.3735393058043229,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.6783744729730095,0.3735393058043229,0.5638888888888889,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,24
site5,normal,3,360,0.6438783941685035,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.637880228003857,0.3575370233312577,0.5527777777777778,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,24
site5,normal,4,360,0.8433625660141872,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7290310665162077,0.4635766552857511,0.5777777777777777,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,24
site5,normal,5,360,0.7450811967855364,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7174163639542234,0.4620462566173283,0.5861111111111111,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,24
site5,normal,6,360,0.5326199233713568,0.0,0,100.0,710.6301599999999,0,5,0,0.5744197124756335,0.7466217572067105,0.440714295786803,0.5805555555555556,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,24
site5,normal,7,360,0.5177125153656817,0.0,0,100.0,710.6301599999999,0,5,0,0.5744197124756335,0.7567143492010353,0.5177125153656817,0.5916666666666667,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,24
site5,normal,8,360,0.7724536151319743,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.8189554489673276,0.6202408709936251,0.6027777777777777,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,24
site5,normal,9,360,0.8654647177622501,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7619665515976035,0.5611594257950925,0.5972222222222222,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,24
site5,delayed,0,360,0.7643736291335781,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.5608754629689315,0.1780322582963323,0.5444444444444444,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,48
site5,delayed,1,360,0.6913795576205464,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7495480581225662,0.4162003951990394,0.5972222222222222,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,48
site5,delayed,2,360,0.3735393058043229,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.6100411396396762,0.1740085708421794,0.5416666666666666,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,48
site5,delayed,3,360,0.6438783941685035,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.6337135613371903,0.2914496962175005,0.5611111111111111,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,48
site5,delayed,4,360,0.8433625660141872,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7290310665162077,0.4635766552857511,0.5777777777777777,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,48
site5,delayed,5,360,0.7450811967855364,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.6374163639542235,0.2455504618233933,0.575,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,48
site5,delayed,6,360,0.5326199233713568,0.0,0,100.0,710.6301599999999,0,5,0,0.5744197124756335,0.6699550905400435,0.440714295786803,0.5611111111111111,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,48
site5,delayed,7,360,0.5177125153656817,0.0,0,100.0,710.6301599999999,0,5,0,0.5744197124756335,0.6925476825343687,0.4379266046372455,0.575,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,48
site5,delayed,8,360,0.7724536151319743,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7764554489673277,0.5981314091135019,0.5944444444444444,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,48
site5,delayed,9,360,0.8654647177622501,0.0,0,100.0,710.6301599999999,0,3,0,0.5744197124756335,0.6052998849309369,0.2310271099684681,0.5638888888888889,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,48
site5,monsoon,0,360,0.7643736291335781,110.27068,19,94.7222,600.3594800000001,0,2,0,0.5744197124756335,0.4548800381236256,0.0649138799143544,0.4361111111111111,1705.3125714285716,1282.4845085714287,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,72
site5,monsoon,1,360,0.6913795576205464,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.7153813914559,0.4083446174523382,0.5805555555555556,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,72
site5,monsoon,2,360,0.3735393058043229,124.9756,16,95.5556,585.65456,0,3,0,0.5744197124756335,0.4581044104738884,0.0680573552279799,0.4583333333333333,1705.3125714285716,1267.7795885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,72
site5,monsoon,3,360,0.6438783941685035,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.5837135613371903,0.2914496962175005,0.5444444444444444,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,72
site5,monsoon,4,360,0.8433625660141872,0.0,0,100.0,710.6301599999999,0,3,0,0.5744197124756335,0.544864399849541,0.1066421606096818,0.5333333333333333,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,72
site5,monsoon,5,360,0.7450811967855364,0.0,0,100.0,710.6301599999999,0,3,0,0.5744197124756335,0.5849163639542233,0.0652952860571001,0.5583333333333333,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,72
site5,monsoon,6,360,0.5326199233713568,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.5507884238733768,0.2495849832031481,0.5361111111111111,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,72
site5,monsoon,7,360,0.5177125153656817,78.58280000000002,13,96.3889,632.04736,0,3,0,0.5744197124756335,0.3920640893861131,0.0654997712273326,0.4444444444444444,1705.3125714285716,1314.1723885714289,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,72
site5,monsoon,8,360,0.7724536151319743,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.6131221156339944,0.3427783116446162,0.5583333333333333,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,72
site5,monsoon,9,360,0.8654647177622501,0.0,0,100.0,710.6301599999999,0,2,0,0.5744197124756335,0.5202998849309368,0.1856788070338137,0.5416666666666666,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,72
site5,very_delayed,0,360,0.7643736291335781,110.27068,19,94.7222,600.3594800000001,0,2,0,0.5744197124756335,0.4548800381236256,0.0649138799143544,0.4361111111111111,1705.3125714285716,1282.4845085714287,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,120
site5,very_delayed,1,360,0.6913795576205464,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.6162147247892332,0.259104084992675,0.5583333333333333,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,120
site5,very_delayed,2,360,0.3735393058043229,124.9756,16,95.5556,585.65456,0,3,0,0.5744197124756335,0.4581044104738884,0.0680573552279799,0.4583333333333333,1705.3125714285716,1267.7795885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,120
site5,very_delayed,3,360,0.6438783941685035,0.0,0,100.0,710.6301599999999,0,4,0,0.5744197124756335,0.5462135613371903,0.2640924834400671,0.5444444444444444,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,120
site5,very_delayed,4,360,0.8433625660141872,0.0,0,100.0,710.6301599999999,0,2,0,0.5744197124756335,0.5181977331828743,0.0756927762411952,0.525,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,120
site5,very_delayed,5,360,0.7450811967855364,0.0,0,100.0,710.6301599999999,0,3,0,0.5744197124756335,0.5574163639542233,0.0652952860571001,0.5416666666666666,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,120
site5,very_delayed,6,360,0.5326199233713568,0.0,0,100.0,710.6301599999999,0,3,0,0.5744197124756335,0.508288423873377,0.088264954702306,0.5222222222222223,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,120
site5,very_delayed,7,360,0.5177125153656817,257.88484,42,88.3333,452.74532,0,2,0,0.5744197124756335,0.2201161245105158,0.063996218610649,0.2916666666666667,1705.3125714285716,1134.8703485714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,120
site5,very_delayed,8,360,0.7724536151319743,8.73,1,99.7222,701.9001599999999,0,3,0,0.5744197124756335,0.5042669438631466,0.0573117435322645,0.5194444444444445,1705.3125714285716,1384.0251885714283,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,120
site5,very_delayed,9,360,0.8654647177622501,0.0,0,100.0,710.6301599999999,0,2,0,0.5744197124756335,0.5202998849309368,0.1856788070338137,0.5416666666666666,1705.3125714285716,1392.7551885714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,120
site5,extreme,0,360,0.7643736291335781,292.81684,46,87.2222,417.81332,0,1,0,0.5744197124756335,0.2995276250597037,0.0688110371551,0.3027777777777777,1705.3125714285716,1099.9383485714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,336
site5,extreme,1,360,0.6913795576205464,260.23564,42,88.3333,450.39452,0,1,0,0.5744197124756335,0.2612344815258128,0.0569419498267645,0.2944444444444444,1705.3125714285716,1132.519548571429,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,336
site5,extreme,2,360,0.3735393058043229,527.13204,78,78.3333,183.49812,0,1,0,0.5744197124756335,0.123754348803452,0.0680573552279799,0.1222222222222222,1705.3125714285716,865.6231485714286,rlinv,42,normal,lead_sensitivity,0,0.3,0.9,360,336
